true/pred,background,hazelnut,forest,permanent_cropland,greenhouse,grassland,sparsely_vegetated_areas,arable_land,discontinuous_urban_fabric,road_and_rail_networks,water_courses,water_bodies,wetland
background,0.9951462969351427,0.003741494328056018,0.0006594428539494933,0.0,0.0,6.222937998379547e-06,0.0,0.00030009647062488517,0.00010047216259201886,4.435257627935968e-05,1.6217353571534577e-06,0.0,0.0
hazelnut,7.479267632915128e-05,0.9395088233248162,0.02473127948528753,0.0,0.0,0.0031012713581168904,9.594429458092731e-06,0.017783834964267678,0.007346492736684001,0.00581129165824396,0.0003157656430716375,0.0,0.0013168537237248823
forest,0.00011442662489664431,0.12263518960709754,0.8485842726546214,0.0,0.0,0.007816193745394846,0.0003244528657670263,0.013543114957246926,0.0014697812084672438,0.004264731178597814,0.0007828078015279079,0.0,0.0004650293563826009
permanent_cropland,0.0005770162822074639,0.36522576335127915,0.012784087187749702,0.0,0.0,0.012444819952581182,2.881806630775075e-05,0.5834865930496064,0.012991708256375998,0.005996122660169503,0.004548669784257477,0.0,0.001916401409465425
greenhouse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1804898496915983,0.6572848673573268,0.1622252829510749,0.0,0.0,0.0
grassland,0.0003805811995287667,0.2779122202520563,0.10531639004522858,0.0,0.0,0.19547361837335428,0.0026360336564737186,0.28785135174252474,0.10143612277238426,0.027355329819357864,0.0013232013349912873,0.0,0.000315150804100196
sparsely_vegetated_areas,0.00027367869984395033,0.2826581541861857,0.39385958324200776,0.0,0.0,0.16042221112974805,0.021818340355823182,0.07167350522808062,0.029766262722355427,0.03524256158494539,0.004282467072978205,0.0,3.235778031757969e-06
arable_land,0.0002693803991271079,0.11027959011288205,0.012829244785562322,0.0,0.0,0.04725860284984275,0.00010266604797875957,0.7874136144250726,0.02967198223887857,0.010691059168860664,0.001197648213423313,0.0,0.0002862117583718381
discontinuous_urban_fabric,0.00015805898028836026,0.15566548447010345,0.010803954931819468,0.0,0.0,0.02153307437043365,0.0008109366602888738,0.04773104036215127,0.6942389507509515,0.06847958201824177,0.0005789174557216038,0.0,0.0
road_and_rail_networks,0.00019205922110263486,0.15449927721940548,0.06556894985736277,0.0,0.0,0.0111768744323294,0.00043639743977894426,0.0280225661056411,0.056701561973638764,0.6822387009564583,0.0011606278596739599,0.0,2.98493460861111e-06
water_courses,0.001249160619627034,0.19860671328121665,0.0313137158310357,0.0,0.0,0.009336010315823854,0.0,0.5626003275531563,0.002797821642766489,0.020168167443764057,0.1731671354548171,0.0007609478577928718,0.0
water_bodies,0.0006515859355790509,0.056312324126437725,0.012754419036690981,0.0,0.0,0.008420074857252137,0.0,0.9147460590661968,0.002729284484878289,0.004382154468212988,0.0,4.098024752069503e-06,0.0
wetland,5.1950750688347444e-05,0.06513301753573976,0.08075791422458782,0.0,0.0,0.01191844676701033,0.0,0.7931491128228622,0.0,0.0025616442884872415,0.022891389871492734,0.0,0.023536523739131666
