true/pred,background,hazelnut,forest,permanent_cropland,greenhouse,grassland,sparsely_vegetated_areas,arable_land,discontinuous_urban_fabric,road_and_rail_networks,water_courses,water_bodies,wetland
background,0.9975381296483473,0.0008313847360719297,0.0006040022930589708,3.771478570458763e-07,0.0,0.0002532547860063059,6.24556851267971e-05,0.0003117504186341213,5.743961862808695e-05,7.855989862265603e-05,0.0002390363117956764,0.0,2.3609455851071853e-05
hazelnut,0.00020730198447286007,0.9454810405315001,0.02190091490084009,0.0010489099408173136,0.0,0.008361322436644574,0.0017937423341513792,0.008318041677016212,0.006780258507133299,0.004997419106649637,0.001076427051909506,1.4855391442778053e-06,3.313598972080804e-05
forest,0.00021733797118849793,0.06970202025035367,0.893644098607758,0.0006512648578005952,0.0,0.01260730167932489,0.010566996755045707,0.005206328863833111,0.001188785038704494,0.0036774948677382176,0.002090670539516023,0.0,0.0004477005687368004
permanent_cropland,0.000647751535871943,0.30521148530933573,0.006736222999436737,0.2743689498434655,0.0,0.041625731913388614,0.002898835488138746,0.34456648458888406,0.010073879042716234,0.004536880575313397,0.009333778703448998,0.0,0.0
greenhouse,0.0,0.0,0.0,0.0,0.9339780825199113,0.0,0.0,0.03907419605964429,0.026947721420444336,0.0,0.0,0.0,0.0
grassland,0.00046300525598574107,0.1617710121458112,0.0663800242490902,0.0017542354659913879,0.0,0.4806012798915017,0.04125811273297097,0.15844606315199672,0.06869380240702247,0.0164028672818596,0.0030867497112637777,0.00014939060203500532,0.0009934571044712195
sparsely_vegetated_areas,0.00025102825362164456,0.1454766633133788,0.1195832862868238,0.00012687655966629933,0.0,0.12053205046655661,0.5498911841908741,0.027885253861262442,0.022892448358259893,0.01180735403788483,0.0015138332065419257,0.0,4.002146512963804e-05
arable_land,0.0003728330178676442,0.06115187705995748,0.012817658856661317,0.0016148407099048972,0.00010371474711232687,0.07844534110917784,0.0048780013339771895,0.8070391062536348,0.022902895547425757,0.005534660401450004,0.005042408608785431,2.8786347909336426e-05,6.7876006135949e-05
discontinuous_urban_fabric,0.00022888282424775013,0.08893644030461692,0.009831677032768318,4.835860818236403e-05,0.0,0.050580988925514034,0.020542051128542578,0.034647082816195274,0.7623968714387496,0.03171857886669013,0.0010690680544930763,0.0,0.0
road_and_rail_networks,0.0002804132855175237,0.09249442456857035,0.0458461223567338,0.00011786227511715869,3.496637684373015e-05,0.023416385585324356,0.00806793711169199,0.015773076742668788,0.039658523480774886,0.7715849576352495,0.0027230279176669752,2.3026638409285706e-06,0.0
water_courses,0.0019562390609510426,0.0826566905476453,0.02414705063250826,0.0015866067756206673,0.0,0.0036163657320040575,4.7770991962954105e-05,0.05597235651931744,0.0018129260850621803,0.005513314554703207,0.8199555357093247,0.002735143390900202,0.0
water_bodies,0.0009835259404966806,0.04623254924459744,0.002010764145015436,0.0,0.0,0.010822883370215556,0.0,0.01822528208070377,0.0008701472556894243,0.0034491708329918314,0.0015709094882933093,0.9071087069365898,0.008726060705406661
wetland,0.0001067351786869684,0.007243823764162483,0.025037428154473195,0.0034712547050850338,0.0,0.004978771034150535,0.0,0.03344117049764096,0.0,0.0,0.0,0.01566456817119189,0.910056248494609
